clone.id,cell.barcode
2,6O+10A+3H
2,9K+10A+3H
2,11L+10A+3H
2,16P+10A+3H
2,4G+10A+3H
2,2N+10A+3H
2,4D+10A+1H
2,2H+10A+3H
2,10O+10A+3H
2,7J+10A+3H
2,7F+10A+3H
2,11M+10A+3H
2,16A+10A+3H
2,7A+10A+3H
2,18D+10A+3H
2,15I+10A+3H
2,11G+10A+3H
2,6C+10A+3H
2,14B+10A+3H
2,2P+10A+3H
2,23K+10A+1H
2,8C+10A+3H
2,12O+10A+3H
2,11E+10A+3H
2,20L+10A+3H
2,16H+10A+3H
2,15M+10A+3H
2,2I+10A+3H
2,11K+10A+3H
2,22O+10A+3H
2,14C+10A+3H
2,8F+10A+3H
2,15A+10A+3H
2,6A+10A+3A
2,21C+10A+3H
2,3B+10A+3H
2,15L+10A+1H
2,17I+10A+3H
2,19D+10A+3H
2,5O+10A+3H
2,7I+10A+3H
2,13N+10A+3H
2,20K+10A+3H
2,24E+10A+3H
2,11N+10A+3H
2,12B+10A+3H
2,20H+10A+3H
2,20C+10A+3H
2,23A+10A+3H
2,14L+10A+3H
2,15D+10A+1A
2,23D+10A+1H
2,20F+10A+3H
2,10G+10A+3H
2,5E+10A+3H
2,7E+10A+1H
2,18O+10A+3H
2,14G+10A+3H
2,13L+10A+3H
2,8I+10A+1A
2,9J+10A+3H
2,1D+10A+3H
2,16B+10A+3H
2,22G+10A+1H
2,23M+10A+3H
2,22D+10A+3H
2,21D+10A+3H
2,18H+10A+3H
2,2J+10A+3H
2,20J+10A+3H
2,9N+10A+3H
2,22P+10A+3H
2,12J+10A+3H
2,8D+10A+3H
2,13K+10A+3H
2,13I+10A+3H
2,20N+10A+3H
2,18E+10A+3H
2,1G+10A+3H
2,20M+10A+3H
2,1I+10A+3H
2,7E+10A+3H
2,8L+10A+3H
2,3A+10A+3H
2,19N+10A+3H
2,17H+10A+3H
2,8B+10A+3H
2,12G+10A+3H
2,20I+10A+3H
2,7B+10A+3H
2,12F+10A+3H
2,10I+10A+3H
2,2A+10A+3H
2,22H+10A+3H
2,12C+10A+3H
2,10A+10A+3H
2,3N+10A+3H
2,10J+10A+3H
2,2G+10A+3H
2,24K+10A+3H
2,4I+10A+3H
2,20P+10A+3H
2,5I+10A+3H
2,19C+10A+3H
2,7N+10A+3H
2,15K+10A+3H
2,3G+10A+3H
2,23O+10A+3H
2,4A+10A+3H
2,16F+10A+3H
2,14I+10A+3H
2,24C+10A+3H
2,4O+10A+3H
2,10D+10A+3H
2,22A+10A+3H
2,12A+10A+3H
2,18M+10A+3H
2,5P+10A+3H
2,15K+10A+1H
2,16L+10A+3H
2,7L+10A+3H
2,23J+10A+3H
2,21J+10A+1H
2,2F+10A+3H
2,14A+10A+3H
2,13M+10A+3H
2,17L+10A+1H
2,24G+10A+3H
